'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'[23:16:36.192 09/02/1989]',0.068,115.213,0.006,-0.223
'[23:16:36.196 09/02/1989]',0.076,115.902,0.001,-0.223
'[23:16:36.200 09/02/1989]',0.074,116.361,-0.001,-0.216
'[23:16:36.204 09/02/1989]',0.080,116.820,-0.004,-0.219
'[23:16:36.208 09/02/1989]',0.074,117.967,-0.007,-0.219
'[23:16:36.212 09/02/1989]',0.098,118.656,-0.011,-0.221
'[23:16:36.216 09/02/1989]',0.076,119.344,-0.011,-0.219
'[23:16:36.220 09/02/1989]',0.088,119.803,-0.014,-0.219
'[23:16:36.224 09/02/1989]',0.080,120.951,-0.014,-0.219
'[23:16:36.228 09/02/1989]',0.094,121.180,-0.013,-0.211
'[23:16:36.232 09/02/1989]',0.092,120.721,-0.013,-0.219
'[23:16:36.236 09/02/1989]',0.094,121.639,-0.013,-0.219
'[23:16:36.240 09/02/1989]',0.080,121.410,-0.011,-0.209
'[23:16:36.244 09/02/1989]',0.096,121.180,-0.012,-0.207
'[23:16:36.248 09/02/1989]',0.090,121.180,-0.010,-0.204
'[23:16:36.252 09/02/1989]',0.088,121.180,-0.011,-0.211
'[23:16:36.256 09/02/1989]',0.112,121.180,-0.011,-0.209
'[23:16:36.260 09/02/1989]',0.112,121.180,-0.013,-0.209
'[23:16:36.264 09/02/1989]',0.136,120.492,-0.016,-0.209
'[23:16:36.268 09/02/1989]',0.128,120.262,-0.018,-0.209
'[23:16:36.272 09/02/1989]',0.152,119.803,-0.020,-0.207
'[23:16:36.276 09/02/1989]',0.160,119.115,-0.019,-0.207
'[23:16:36.280 09/02/1989]',0.176,118.656,-0.017,-0.209
'[23:16:36.284 09/02/1989]',0.166,118.885,-0.019,-0.209
'[23:16:36.288 09/02/1989]',0.178,118.426,-0.018,-0.214
'[23:16:36.292 09/02/1989]',0.170,118.197,-0.019,-0.211
'[23:16:36.296 09/02/1989]',0.194,117.279,-0.018,-0.207
'[23:16:36.300 09/02/1989]',0.220,116.590,-0.017,-0.209
'[23:16:36.304 09/02/1989]',0.232,116.131,-0.014,-0.211
'[23:16:36.308 09/02/1989]',0.238,115.672,-0.013,-0.209
'[23:16:36.312 09/02/1989]',0.246,114.754,-0.009,-0.209
'[23:16:36.316 09/02/1989]',0.214,114.525,-0.007,-0.207
'[23:16:36.320 09/02/1989]',0.212,113.836,-0.003,-0.204
'[23:16:36.324 09/02/1989]',0.194,112.689,-0.001,-0.209
'[23:16:36.328 09/02/1989]',0.190,112.230,0.000,-0.204
'[23:16:36.332 09/02/1989]',0.164,112.000,-0.000,-0.202
'[23:16:36.336 09/02/1989]',0.126,111.312,-0.003,-0.207
'[23:16:36.340 09/02/1989]',0.088,111.312,-0.004,-0.204
'[23:16:36.344 09/02/1989]',0.064,110.853,-0.002,-0.209
'[23:16:36.348 09/02/1989]',0.042,109.475,-0.005,-0.200
'[23:16:36.352 09/02/1989]',0.034,109.934,-0.005,-0.204
'[23:16:36.356 09/02/1989]',0.030,109.016,-0.008,-0.197
'[23:16:36.360 09/02/1989]',0.034,108.787,-0.010,-0.200
'[23:16:36.364 09/02/1989]',0.018,108.098,-0.009,-0.200
'[23:16:36.368 09/02/1989]',0.012,108.328,-0.010,-0.195
'[23:16:36.372 09/02/1989]',0.024,107.639,-0.011,-0.192
'[23:16:36.376 09/02/1989]',0.014,106.951,-0.011,-0.197
'[23:16:36.380 09/02/1989]',0.020,106.951,-0.012,-0.192
'[23:16:36.384 09/02/1989]',0.008,106.262,-0.011,-0.195
'[23:16:36.388 09/02/1989]',0.016,106.033,-0.010,-0.188
'[23:16:36.392 09/02/1989]',0.012,105.574,-0.009,-0.190
'[23:16:36.396 09/02/1989]',-0.002,105.574,-0.009,-0.190
'[23:16:36.400 09/02/1989]',0.010,105.344,-0.009,-0.195
'[23:16:36.404 09/02/1989]',0.014,105.344,-0.008,-0.183
'[23:16:36.408 09/02/1989]',0.010,104.426,-0.007,-0.183
'[23:16:36.412 09/02/1989]',0.022,104.426,-0.008,-0.178
'[23:16:36.416 09/02/1989]',0.018,103.508,-0.007,-0.178
'[23:16:36.420 09/02/1989]',-0.000,103.279,-0.007,-0.178
'[23:16:36.424 09/02/1989]',-0.012,103.049,-0.007,-0.171
'[23:16:36.428 09/02/1989]',-0.044,102.820,-0.006,-0.176
'[23:16:36.432 09/02/1989]',-0.114,102.820,-0.007,-0.173
'[23:16:36.436 09/02/1989]',-0.136,102.820,-0.010,-0.173
'[23:16:36.440 09/02/1989]',-0.080,102.361,-0.009,-0.181
'[23:16:36.444 09/02/1989]',0.112,102.820,-0.010,-0.173
'[23:16:36.448 09/02/1989]',0.472,102.361,-0.011,-0.171
'[23:16:36.452 09/02/1989]',0.900,102.590,-0.010,-0.176
'[23:16:36.456 09/02/1989]',1.252,102.131,-0.009,-0.171
'[23:16:36.460 09/02/1989]',1.536,102.361,-0.009,-0.176
'[23:16:36.464 09/02/1989]',1.650,102.820,-0.009,-0.173
'[23:16:36.468 09/02/1989]',1.224,101.902,-0.009,-0.181
'[23:16:36.472 09/02/1989]',0.968,102.131,-0.005,-0.173
'[23:16:36.476 09/02/1989]',0.512,102.361,-0.006,-0.178
'[23:16:36.480 09/02/1989]',-0.000,102.131,-0.006,-0.173
'[23:16:36.484 09/02/1989]',-0.328,102.820,-0.005,-0.176
'[23:16:36.488 09/02/1989]',-0.606,101.902,-0.006,-0.181
'[23:16:36.492 09/02/1989]',-0.768,101.672,-0.005,-0.171
'[23:16:36.496 09/02/1989]',-0.748,100.984,-0.004,-0.176
'[23:16:36.500 09/02/1989]',-0.516,100.754,-0.002,-0.171
'[23:16:36.504 09/02/1989]',-0.280,100.984,-0.002,-0.171
'[23:16:36.508 09/02/1989]',-0.152,100.066,0.001,-0.166
'[23:16:36.512 09/02/1989]',-0.100,100.066,0.002,-0.171
'[23:16:36.516 09/02/1989]',-0.096,100.295,0.003,-0.169
'[23:16:36.520 09/02/1989]',-0.096,100.066,0.002,-0.171
'[23:16:36.524 09/02/1989]',-0.094,99.148,0.005,-0.164
'[23:16:36.528 09/02/1989]',-0.080,99.148,0.005,-0.171
'[23:16:36.532 09/02/1989]',-0.080,99.148,0.005,-0.171
'[23:16:36.536 09/02/1989]',-0.064,98.459,0.000,-0.178
'[23:16:36.540 09/02/1989]',-0.064,98.230,0.002,-0.169
'[23:16:36.544 09/02/1989]',-0.056,98.918,-0.003,-0.173
'[23:16:36.548 09/02/1989]',-0.050,98.230,-0.005,-0.178
'[23:16:36.552 09/02/1989]',-0.048,98.230,-0.008,-0.183
'[23:16:36.556 09/02/1989]',-0.036,98.000,-0.009,-0.185
'[23:16:36.560 09/02/1989]',-0.034,97.771,-0.012,-0.183
'[23:16:36.564 09/02/1989]',-0.026,97.312,-0.014,-0.176
'[23:16:36.568 09/02/1989]',-0.026,96.623,-0.014,-0.190
'[23:16:36.572 09/02/1989]',-0.014,97.082,-0.013,-0.178
'[23:16:36.576 09/02/1989]',-0.022,97.312,-0.015,-0.176
'[23:16:36.580 09/02/1989]',-0.016,96.394,-0.017,-0.185
'[23:16:36.584 09/02/1989]',-0.018,96.394,-0.019,-0.185
'[23:16:36.588 09/02/1989]',-0.006,97.082,-0.020,-0.190
'[23:16:36.592 09/02/1989]',-0.012,96.164,-0.019,-0.181
'[23:16:36.596 09/02/1989]',-0.006,95.705,-0.017,-0.181
'[23:16:36.600 09/02/1989]',-0.008,95.246,-0.015,-0.181
'[23:16:36.604 09/02/1989]',0.002,95.246,-0.015,-0.181
'[23:16:36.608 09/02/1989]',-0.000,95.016,-0.011,-0.178
'[23:16:36.612 09/02/1989]',-0.000,95.475,-0.011,-0.185
'[23:16:36.616 09/02/1989]',0.012,95.475,-0.011,-0.183
'[23:16:36.620 09/02/1989]',0.008,95.705,-0.012,-0.183
'[23:16:36.624 09/02/1989]',0.014,95.475,-0.009,-0.181
'[23:16:36.628 09/02/1989]',0.018,97.312,-0.009,-0.183
'[23:16:36.632 09/02/1989]',0.016,98.689,-0.007,-0.183
'[23:16:36.636 09/02/1989]',0.016,100.066,-0.009,-0.192
'[23:16:36.640 09/02/1989]',0.024,102.131,-0.009,-0.195
'[23:16:36.644 09/02/1989]',0.032,104.885,-0.007,-0.190
'[23:16:36.648 09/02/1989]',0.032,108.328,-0.008,-0.197
'[23:16:36.652 09/02/1989]',0.034,112.000,-0.010,-0.200
'[23:16:36.656 09/02/1989]',0.040,116.131,-0.008,-0.202
'[23:16:36.660 09/02/1989]',0.042,120.951,-0.006,-0.207
'[23:16:36.664 09/02/1989]',0.044,126.230,-0.003,-0.211
'[23:16:36.668 09/02/1989]',0.046,131.967,-0.002,-0.219
'[23:16:36.672 09/02/1989]',0.052,137.016,0.002,-0.235
'[23:16:36.676 09/02/1989]',0.056,142.525,0.003,-0.230
'[23:16:36.680 09/02/1989]',0.064,148.033,0.006,-0.233
'[23:16:36.684 09/02/1989]',0.066,153.312,0.006,-0.233
'[23:16:36.688 09/02/1989]',0.066,158.361,0.006,-0.228
'[23:16:36.692 09/02/1989]',0.064,162.951,0.007,-0.238
'[23:16:36.696 09/02/1989]',0.080,167.082,0.006,-0.233
'[23:16:36.700 09/02/1989]',0.072,171.443,0.005,-0.233
'[23:16:36.704 09/02/1989]',0.080,174.656,0.006,-0.240
'[23:16:36.708 09/02/1989]',0.060,177.180,0.006,-0.228
'[23:16:36.712 09/02/1989]',0.082,179.246,0.006,-0.226
'[23:16:36.716 09/02/1989]',0.080,180.853,0.007,-0.228
'[23:16:36.720 09/02/1989]',0.086,182.000,0.006,-0.221
'[23:16:36.724 09/02/1989]',0.078,182.689,0.009,-0.228
'[23:16:36.728 09/02/1989]',0.076,182.459,0.009,-0.214
'[23:16:36.732 09/02/1989]',0.078,182.000,0.011,-0.209
'[23:16:36.736 09/02/1989]',0.076,180.853,0.011,-0.211
'[23:16:36.740 09/02/1989]',0.066,179.017,0.015,-0.209
'[23:16:36.744 09/02/1989]',0.080,178.557,0.017,-0.219
'[23:16:36.748 09/02/1989]',0.076,176.262,0.023,-0.214
'[23:16:36.752 09/02/1989]',0.072,174.656,0.022,-0.219
'[23:16:36.756 09/02/1989]',0.086,173.049,0.025,-0.214
'[23:16:36.760 09/02/1989]',0.102,171.443,0.024,-0.209
'[23:16:36.764 09/02/1989]',0.114,169.836,0.026,-0.200
'[23:16:36.768 09/02/1989]',0.128,168.000,0.025,-0.200
'[23:16:36.772 09/02/1989]',0.130,166.164,0.026,-0.188
'[23:16:36.776 09/02/1989]',0.118,164.787,0.025,-0.190
'[23:16:36.780 09/02/1989]',0.134,163.410,0.021,-0.181
'[23:16:36.784 09/02/1989]',0.120,162.492,0.024,-0.181
'[23:16:36.788 09/02/1989]',0.146,161.115,0.024,-0.178
'[23:16:36.792 09/02/1989]',0.144,159.738,0.023,-0.176
'[23:16:36.796 09/02/1989]',0.146,158.590,0.024,-0.173
'[23:16:36.800 09/02/1989]',0.152,157.443,0.022,-0.171
'[23:16:36.804 09/02/1989]',0.146,156.984,0.024,-0.176
'[23:16:36.808 09/02/1989]',0.148,155.148,0.023,-0.164
'[23:16:36.812 09/02/1989]',0.144,155.148,0.025,-0.169
'[23:16:36.816 09/02/1989]',0.140,154.230,0.024,-0.171
'[23:16:36.820 09/02/1989]',0.122,154.230,0.022,-0.169
'[23:16:36.824 09/02/1989]',0.136,153.312,0.024,-0.171
'[23:16:36.828 09/02/1989]',0.124,153.312,0.024,-0.171
'[23:16:36.832 09/02/1989]',0.126,152.394,0.023,-0.166
'[23:16:36.836 09/02/1989]',0.128,151.476,0.022,-0.171
'[23:16:36.840 09/02/1989]',0.130,150.787,0.022,-0.171
'[23:16:36.844 09/02/1989]',0.136,149.639,0.022,-0.169
'[23:16:36.848 09/02/1989]',0.128,149.180,0.021,-0.164
'[23:16:36.852 09/02/1989]',0.114,148.262,0.021,-0.171
'[23:16:36.856 09/02/1989]',0.124,147.803,0.020,-0.171
'[23:16:36.860 09/02/1989]',0.096,146.885,0.018,-0.173
'[23:16:36.864 09/02/1989]',0.106,145.049,0.019,-0.162
'[23:16:36.868 09/02/1989]',0.102,143.443,0.020,-0.173
'[23:16:36.872 09/02/1989]',0.096,142.525,0.020,-0.171
'[23:16:36.876 09/02/1989]',0.104,140.918,0.020,-0.171
'[23:16:36.880 09/02/1989]',0.080,140.000,0.022,-0.171
'[23:16:36.884 09/02/1989]',0.094,137.705,0.021,-0.169
'[23:16:36.888 09/02/1989]',0.082,136.557,0.022,-0.171
'[23:16:36.892 09/02/1989]',0.072,134.033,0.024,-0.162
'[23:16:36.896 09/02/1989]',0.102,132.426,0.023,-0.162
'[23:16:36.900 09/02/1989]',0.088,130.361,0.024,-0.162
'[23:16:36.904 09/02/1989]',0.088,128.525,0.025,-0.162
'[23:16:36.908 09/02/1989]',0.108,125.771,0.024,-0.157
'[23:16:36.912 09/02/1989]',0.090,123.705,0.025,-0.157
'[23:16:36.916 09/02/1989]',0.086,121.869,0.025,-0.162
'[23:16:36.920 09/02/1989]',0.100,120.033,0.028,-0.157
'[23:16:36.924 09/02/1989]',0.072,117.738,0.029,-0.166
'[23:16:36.928 09/02/1989]',0.108,116.361,0.030,-0.164
'[23:16:36.932 09/02/1989]',0.100,114.984,0.030,-0.173
'[23:16:36.936 09/02/1989]',0.102,113.836,0.028,-0.181
'[23:16:36.940 09/02/1989]',0.100,113.377,0.027,-0.190
'[23:16:36.944 09/02/1989]',0.086,112.230,0.027,-0.183
'[23:16:36.948 09/02/1989]',0.092,111.312,0.027,-0.190
'[23:16:36.952 09/02/1989]',0.080,111.082,0.029,-0.200
'[23:16:36.956 09/02/1989]',0.078,110.853,0.027,-0.200
'[23:16:36.960 09/02/1989]',0.088,110.164,0.029,-0.192
'[23:16:36.964 09/02/1989]',0.066,110.164,0.030,-0.195
'[23:16:36.968 09/02/1989]',0.050,110.164,0.030,-0.192
'[23:16:36.972 09/02/1989]',0.096,111.312,0.031,-0.197
'[23:16:36.976 09/02/1989]',0.064,111.312,0.030,-0.190
'[23:16:36.980 09/02/1989]',0.114,111.312,0.028,-0.190
'[23:16:36.984 09/02/1989]',0.088,112.918,0.028,-0.192
'[23:16:36.988 09/02/1989]',0.114,113.377,0.026,-0.192
'[23:16:36.992 09/02/1989]',0.080,112.918,0.029,-0.181
'[23:16:36.996 09/02/1989]',0.120,113.836,0.026,-0.181
'[23:16:37.000 09/02/1989]',0.100,114.754,0.030,-0.181
'[23:16:37.004 09/02/1989]',0.086,115.672,0.028,-0.183
'[23:16:37.008 09/02/1989]',0.096,116.361,0.030,-0.188
'[23:16:37.012 09/02/1989]',0.096,116.131,0.029,-0.181
'[23:16:37.016 09/02/1989]',0.104,116.820,0.031,-0.171
'[23:16:37.020 09/02/1989]',0.092,117.049,0.032,-0.173
'[23:16:37.024 09/02/1989]',0.102,117.279,0.033,-0.169
'[23:16:37.028 09/02/1989]',0.086,117.508,0.033,-0.173
'[23:16:37.032 09/02/1989]',0.090,117.967,0.033,-0.171
'[23:16:37.036 09/02/1989]',0.080,117.967,0.034,-0.171
'[23:16:37.040 09/02/1989]',0.084,117.508,0.038,-0.171
'[23:16:37.044 09/02/1989]',0.080,117.967,0.037,-0.162
'[23:16:37.048 09/02/1989]',0.118,117.049,0.038,-0.159
'[23:16:37.052 09/02/1989]',0.104,116.820,0.033,-0.152
'[23:16:37.056 09/02/1989]',0.088,116.590,0.034,-0.154
'[23:16:37.060 09/02/1989]',0.092,116.590,0.035,-0.152
'[23:16:37.064 09/02/1989]',0.102,115.672,0.033,-0.157
'[23:16:37.068 09/02/1989]',0.056,115.672,0.035,-0.147
'[23:16:37.072 09/02/1989]',0.112,114.754,0.035,-0.152
'[23:16:37.076 09/02/1989]',0.104,114.295,0.031,-0.143
'[23:16:37.080 09/02/1989]',0.094,113.148,0.030,-0.138
'[23:16:37.084 09/02/1989]',0.070,113.377,0.025,-0.140
'[23:16:37.088 09/02/1989]',0.102,112.689,0.024,-0.133
'[23:16:37.092 09/02/1989]',0.104,111.771,0.024,-0.133
'[23:16:37.096 09/02/1989]',0.116,111.082,0.024,-0.126
'[23:16:37.100 09/02/1989]',0.096,111.082,0.025,-0.133
'[23:16:37.104 09/02/1989]',0.116,110.164,0.020,-0.124
'[23:16:37.108 09/02/1989]',0.134,109.246,0.020,-0.124
'[23:16:37.112 09/02/1989]',0.134,109.705,0.020,-0.124
'[23:16:37.116 09/02/1989]',0.160,108.787,0.019,-0.124
'[23:16:37.120 09/02/1989]',0.142,108.557,0.018,-0.116
'[23:16:37.124 09/02/1989]',0.158,106.951,0.019,-0.119
'[23:16:37.128 09/02/1989]',0.156,106.262,0.020,-0.109
'[23:16:37.132 09/02/1989]',0.184,105.803,0.019,-0.105
'[23:16:37.136 09/02/1989]',0.180,105.803,0.020,-0.114
'[23:16:37.140 09/02/1989]',0.190,104.656,0.019,-0.102
'[23:16:37.144 09/02/1989]',0.160,104.656,0.019,-0.105
'[23:16:37.148 09/02/1989]',0.216,103.738,0.020,-0.109
'[23:16:37.152 09/02/1989]',0.228,104.656,0.022,-0.119
'[23:16:37.156 09/02/1989]',0.264,103.967,0.025,-0.114
'[23:16:37.160 09/02/1989]',0.234,103.508,0.025,-0.109
'[23:16:37.164 09/02/1989]',0.232,102.820,0.026,-0.105
'[23:16:37.168 09/02/1989]',0.212,102.361,0.029,-0.105
'[23:16:37.172 09/02/1989]',0.200,101.902,0.031,-0.105
'[23:16:37.176 09/02/1989]',0.184,101.672,0.036,-0.105
'[23:16:37.180 09/02/1989]',0.204,101.672,0.038,-0.100
'[23:16:37.184 09/02/1989]',0.184,100.754,0.042,-0.100
'[23:16:37.188 09/02/1989]',0.144,99.836,0.046,-0.097
'[23:16:37.192 09/02/1989]',0.086,99.377,0.045,-0.097
'[23:16:37.196 09/02/1989]',0.050,98.918,0.046,-0.090
'[23:16:37.200 09/02/1989]',0.056,98.459,0.048,-0.090
'[23:16:37.204 09/02/1989]',0.038,98.000,0.048,-0.095
'[23:16:37.208 09/02/1989]',0.018,97.541,0.049,-0.095
'[23:16:37.212 09/02/1989]',0.058,98.230,0.051,-0.090
'[23:16:37.216 09/02/1989]',0.034,97.312,0.052,-0.095
'[23:16:37.220 09/02/1989]',0.026,97.541,0.049,-0.093
'[23:16:37.224 09/02/1989]',0.040,97.312,0.048,-0.093
'[23:16:37.228 09/02/1989]',0.054,97.312,0.044,-0.088
'[23:16:37.232 09/02/1989]',0.014,96.394,0.042,-0.093
'[23:16:37.236 09/02/1989]',0.008,96.623,0.042,-0.093
'[23:16:37.240 09/02/1989]',0.014,96.623,0.039,-0.093
'[23:16:37.244 09/02/1989]',0.024,96.623,0.038,-0.090
'[23:16:37.248 09/02/1989]',0.016,95.934,0.036,-0.100
'[23:16:37.252 09/02/1989]',-0.000,95.705,0.033,-0.090
'[23:16:37.256 09/02/1989]',0.016,95.705,0.030,-0.083
'[23:16:37.260 09/02/1989]',-0.006,95.705,0.031,-0.093
'[23:16:37.264 09/02/1989]',0.034,95.475,0.033,-0.083
'[23:16:37.268 09/02/1989]',0.016,94.557,0.033,-0.090
'[23:16:37.272 09/02/1989]',0.026,95.475,0.035,-0.090
'[23:16:37.276 09/02/1989]',-0.018,95.705,0.033,-0.097
'[23:16:37.280 09/02/1989]',-0.056,95.246,0.033,-0.088
'[23:16:37.284 09/02/1989]',-0.130,95.246,0.032,-0.081
'[23:16:37.288 09/02/1989]',-0.118,95.246,0.032,-0.093
'[23:16:37.292 09/02/1989]',-0.064,95.016,0.032,-0.088
'[23:16:37.296 09/02/1989]',0.104,95.016,0.033,-0.090
'[23:16:37.300 09/02/1989]',0.504,95.016,0.035,-0.081
'[23:16:37.304 09/02/1989]',0.918,95.016,0.036,-0.086
'[23:16:37.308 09/02/1989]',1.302,94.557,0.039,-0.086
'[23:16:37.312 09/02/1989]',1.614,94.557,0.037,-0.076
'[23:16:37.316 09/02/1989]',1.746,94.557,0.038,-0.076
'[23:16:37.320 09/02/1989]',1.228,94.557,0.038,-0.078
'[23:16:37.324 09/02/1989]',0.884,93.639,0.039,-0.076
'[23:16:37.328 09/02/1989]',0.382,93.639,0.038,-0.069
'[23:16:37.332 09/02/1989]',-0.192,93.180,0.035,-0.067
'[23:16:37.336 09/02/1989]',-0.434,92.951,0.032,-0.076
'[23:16:37.340 09/02/1989]',-0.672,92.721,0.033,-0.069
'[23:16:37.344 09/02/1989]',-0.760,93.180,0.030,-0.064
'[23:16:37.348 09/02/1989]',-0.822,92.951,0.028,-0.067
'[23:16:37.352 09/02/1989]',-0.708,93.410,0.025,-0.067
'[23:16:37.356 09/02/1989]',-0.522,92.721,0.022,-0.055
'[23:16:37.360 09/02/1989]',-0.392,92.951,0.018,-0.048
'[23:16:37.364 09/02/1989]',-0.248,92.721,0.021,-0.048
'[23:16:37.368 09/02/1989]',-0.128,92.262,0.021,-0.050
'[23:16:37.372 09/02/1989]',-0.072,91.574,0.020,-0.036
'[23:16:37.376 09/02/1989]',-0.058,91.344,0.018,-0.033
'[23:16:37.380 09/02/1989]',-0.096,91.803,0.015,-0.036
'[23:16:37.384 09/02/1989]',-0.076,91.574,0.015,-0.029
'[23:16:37.388 09/02/1989]',-0.040,91.115,0.013,-0.019
'[23:16:37.392 09/02/1989]',-0.066,90.885,0.013,-0.017
'[23:16:37.396 09/02/1989]',-0.038,90.197,0.014,-0.005
'[23:16:37.400 09/02/1989]',-0.048,90.885,0.015,-0.014
'[23:16:37.404 09/02/1989]',-0.042,90.656,0.013,-0.005
'[23:16:37.408 09/02/1989]',0.024,89.967,0.016,-0.010
'[23:16:37.412 09/02/1989]',0.016,89.967,0.017,-0.000
'[23:16:37.416 09/02/1989]',0.014,89.738,0.016,-0.000
'[23:16:37.420 09/02/1989]',0.012,89.738,0.017,-0.000
'[23:16:37.424 09/02/1989]',-0.022,89.049,0.016,-0.000
'[23:16:37.428 09/02/1989]',0.012,89.279,0.016,0.007
'[23:16:37.432 09/02/1989]',0.008,88.820,0.016,0.010
'[23:16:37.436 09/02/1989]',0.006,88.820,0.015,-0.000
'[23:16:37.440 09/02/1989]',0.012,88.131,0.013,0.012
'[23:16:37.444 09/02/1989]',0.020,88.590,0.014,0.014
'[23:16:37.448 09/02/1989]',0.020,88.131,0.011,0.019
'[23:16:37.452 09/02/1989]',0.034,87.672,0.006,0.021
'[23:16:37.456 09/02/1989]',0.036,87.213,0.005,0.029
'[23:16:37.460 09/02/1989]',0.032,87.213,-0.000,0.031
'[23:16:37.464 09/02/1989]',0.012,87.443,-0.004,0.033
'[23:16:37.468 09/02/1989]',0.022,87.213,-0.006,0.038
'[23:16:37.472 09/02/1989]',0.024,86.754,-0.006,0.040
'[23:16:37.476 09/02/1989]',0.050,87.443,-0.009,0.036
'[23:16:37.480 09/02/1989]',0.034,87.213,-0.010,0.038
'[23:16:37.484 09/02/1989]',0.018,88.131,-0.009,0.040
'[23:16:37.488 09/02/1989]',0.088,89.279,-0.010,0.043
'[23:16:37.492 09/02/1989]',0.066,89.508,-0.006,0.048
'[23:16:37.496 09/02/1989]',0.080,91.344,-0.006,0.048
'[23:16:37.500 09/02/1989]',0.072,93.639,-0.006,0.043
'[23:16:37.504 09/02/1989]',0.082,96.394,-0.003,0.040
'[23:16:37.508 09/02/1989]',0.058,98.689,-0.002,0.052
'[23:16:37.512 09/02/1989]',0.080,103.279,-0.000,0.052
'[23:16:37.516 09/02/1989]',0.060,106.951,-0.000,0.050
'[23:16:37.520 09/02/1989]',0.078,111.541,-0.000,0.055
'[23:16:37.524 09/02/1989]',0.060,114.984,-0.001,0.052
'[23:16:37.528 09/02/1989]',0.090,120.033,-0.000,0.057
'[23:16:37.532 09/02/1989]',0.106,124.853,-0.001,0.069
'[23:16:37.536 09/02/1989]',0.076,129.902,-0.000,0.062
'[23:16:37.540 09/02/1989]',0.076,134.033,-0.000,0.064
'[23:16:37.544 09/02/1989]',0.082,139.541,-0.002,0.064
'[23:16:37.548 09/02/1989]',0.114,144.820,-0.002,0.067
'[23:16:37.552 09/02/1989]',0.078,148.492,-0.004,0.069
'[23:16:37.556 09/02/1989]',0.132,152.623,-0.002,0.067
'[23:16:37.560 09/02/1989]',0.070,156.066,-0.004,0.069
'[23:16:37.564 09/02/1989]',0.088,159.279,-0.007,0.069
'[23:16:37.568 09/02/1989]',0.058,162.262,-0.009,0.064
'[23:16:37.572 09/02/1989]',0.088,164.557,-0.009,0.067
'[23:16:37.576 09/02/1989]',0.058,166.623,-0.009,0.074
'[23:16:37.580 09/02/1989]',0.102,167.541,-0.011,0.076
'[23:16:37.584 09/02/1989]',0.080,169.148,-0.009,0.074
'[23:16:37.588 09/02/1989]',0.050,169.148,-0.007,0.074
'[23:16:37.592 09/02/1989]',0.094,169.148,-0.006,0.076
'[23:16:37.596 09/02/1989]',0.072,168.689,-0.006,0.078
'[23:16:37.600 09/02/1989]',0.058,168.000,-0.002,0.078
'[23:16:37.604 09/02/1989]',0.080,167.082,-0.004,0.083
'[23:16:37.608 09/02/1989]',0.072,165.705,-0.005,0.083
'[23:16:37.612 09/02/1989]',0.092,164.328,-0.004,0.086
'[23:16:37.616 09/02/1989]',0.112,162.262,-0.004,0.093
'[23:16:37.620 09/02/1989]',0.128,161.115,-0.005,0.078
'[23:16:37.624 09/02/1989]',0.126,158.820,-0.003,0.090
'[23:16:37.628 09/02/1989]',0.130,157.213,-0.005,0.090
'[23:16:37.632 09/02/1989]',0.142,155.607,-0.002,0.093
'[23:16:37.636 09/02/1989]',0.160,154.230,-0.006,0.093
'[23:16:37.640 09/02/1989]',0.142,152.394,-0.004,0.093
'[23:16:37.644 09/02/1989]',0.152,151.476,-0.009,0.100
'[23:16:37.648 09/02/1989]',0.142,150.557,-0.008,0.100
'[23:16:37.652 09/02/1989]',0.142,148.492,-0.011,0.093
'[23:16:37.656 09/02/1989]',0.094,146.656,-0.008,0.095
'[23:16:37.660 09/02/1989]',0.168,145.967,-0.009,0.095
'[23:16:37.664 09/02/1989]',0.092,144.361,-0.009,0.100
'[23:16:37.668 09/02/1989]',0.116,143.672,-0.014,0.090
'[23:16:37.672 09/02/1989]',0.096,143.213,-0.017,0.095
'[23:16:37.676 09/02/1989]',0.096,142.066,-0.018,0.105
'[23:16:37.680 09/02/1989]',0.104,140.459,-0.022,0.097
'[23:16:37.684 09/02/1989]',0.112,139.771,-0.020,0.100
'[23:16:37.688 09/02/1989]',0.132,139.082,-0.022,0.100
'[23:16:37.692 09/02/1989]',0.110,138.164,-0.017,0.097
'[23:16:37.696 09/02/1989]',0.108,137.475,-0.019,0.097
'[23:16:37.700 09/02/1989]',0.080,136.787,-0.017,0.097
'[23:16:37.704 09/02/1989]',0.080,135.639,-0.016,0.088
'[23:16:37.708 09/02/1989]',0.090,134.033,-0.013,0.097
'[23:16:37.712 09/02/1989]',0.102,132.656,-0.011,0.102
'[23:16:37.716 09/02/1989]',0.072,131.508,-0.010,0.105
'[23:16:37.720 09/02/1989]',0.066,130.361,-0.009,0.105
'[23:16:37.724 09/02/1989]',0.108,128.295,-0.008,0.105
'[23:16:37.728 09/02/1989]',0.098,126.689,-0.009,0.107
'[23:16:37.732 09/02/1989]',0.108,124.853,-0.009,0.107
'[23:16:37.736 09/02/1989]',0.080,123.016,-0.009,0.102
'[23:16:37.740 09/02/1989]',0.104,120.262,-0.007,0.109
'[23:16:37.744 09/02/1989]',0.126,118.426,-0.009,0.107
'[23:16:37.748 09/02/1989]',0.154,116.820,-0.009,0.109
'[23:16:37.752 09/02/1989]',0.104,114.754,-0.007,0.105
'[23:16:37.756 09/02/1989]',0.148,112.918,-0.005,0.107
'[23:16:37.760 09/02/1989]',0.152,111.082,-0.004,0.102
'[23:16:37.764 09/02/1989]',0.104,109.475,-0.005,0.121
